Datetime,Open,High,Low,Close,Volume
2025-01-10 03:45:00+00:00,11711.0,11729.5,11610.0498046875,11640.0,0
2025-01-10 04:45:00+00:00,11639.5498046875,11672.7998046875,11570.0,11672.7998046875,27284
2025-01-10 05:45:00+00:00,11669.4501953125,11687.5,11570.0,11590.0,39446
2025-01-10 06:45:00+00:00,11588.849609375,11655.400390625,11575.0,11646.599609375,34537
2025-01-10 07:45:00+00:00,11647.0,11659.0498046875,11590.0,11590.25,23987
2025-01-10 08:45:00+00:00,11592.4501953125,11644.900390625,11585.0498046875,11620.5,36481
2025-01-10 09:45:00+00:00,11620.7001953125,11652.7001953125,11620.0,11649.9501953125,18616
2025-01-13 03:45:00+00:00,11468.5498046875,11648.900390625,11468.5498046875,11591.7998046875,0
2025-01-13 04:45:00+00:00,11592.9501953125,11653.25,11575.75,11630.0,52289
2025-01-13 05:45:00+00:00,11625.849609375,11628.5498046875,11560.099609375,11561.7001953125,25767
2025-01-13 06:45:00+00:00,11561.7001953125,11564.25,11505.0,11506.2001953125,17298
2025-01-13 07:45:00+00:00,11511.0498046875,11534.5,11474.349609375,11534.5,16761
2025-01-13 08:45:00+00:00,11529.900390625,11547.9501953125,11477.150390625,11502.7001953125,65100
2025-01-13 09:45:00+00:00,11502.5,11509.650390625,11490.0,11497.7001953125,25502
2025-01-14 03:45:00+00:00,11535.2001953125,11725.0,11535.2001953125,11655.75,0
2025-01-14 04:45:00+00:00,11657.400390625,11738.4501953125,11645.0,11734.150390625,117040
2025-01-14 05:45:00+00:00,11733.5498046875,11734.150390625,11675.0,11695.849609375,72926
2025-01-14 06:45:00+00:00,11695.849609375,11785.0,11664.2998046875,11761.849609375,120493
2025-01-14 07:45:00+00:00,11763.75,11773.849609375,11739.0,11754.9501953125,52784
2025-01-14 08:45:00+00:00,11754.9501953125,11758.0,11700.099609375,11745.2001953125,124656
2025-01-14 09:45:00+00:00,11745.150390625,11755.0,11710.7998046875,11741.150390625,0
2025-01-15 03:45:00+00:00,11861.0,12188.5498046875,11861.0,12088.0,213682
2025-01-15 04:45:00+00:00,12087.900390625,12125.9501953125,11935.25,11989.75,130223
2025-01-15 05:45:00+00:00,11990.400390625,12063.7001953125,11965.0,12022.5498046875,94041
2025-01-15 06:45:00+00:00,12022.599609375,12044.5,11906.900390625,11906.900390625,67548
2025-01-15 07:45:00+00:00,11902.099609375,11934.0,11874.900390625,11909.349609375,63085
2025-01-15 08:45:00+00:00,11911.5498046875,11947.599609375,11885.849609375,11941.650390625,64883
2025-01-15 09:45:00+00:00,11947.4501953125,11965.0,11925.0,11947.400390625,59355
2025-01-16 03:45:00+00:00,12016.9501953125,12042.7998046875,11956.900390625,12011.599609375,0
2025-01-16 04:45:00+00:00,12007.900390625,12020.0,11968.849609375,11996.9501953125,40964
2025-01-16 05:45:00+00:00,11995.0,12074.0498046875,11992.2001953125,12052.7998046875,57817
2025-01-16 06:45:00+00:00,12046.2001953125,12120.099609375,12042.099609375,12117.849609375,97774
2025-01-16 07:45:00+00:00,12117.650390625,12133.0,12080.7001953125,12111.5498046875,95939
2025-01-16 08:45:00+00:00,12110.099609375,12119.5,12068.900390625,12097.0498046875,133061
2025-01-16 09:45:00+00:00,12102.7998046875,12108.5,12069.900390625,12093.349609375,39974
2025-01-17 03:45:00+00:00,12112.9501953125,12149.0,12005.5498046875,12075.2001953125,0
2025-01-17 04:45:00+00:00,12077.650390625,12119.5498046875,12015.25,12023.7001953125,32342
2025-01-17 05:45:00+00:00,12022.9501953125,12111.599609375,12015.0,12097.099609375,32222
2025-01-17 06:45:00+00:00,12097.099609375,12122.2001953125,12063.150390625,12105.2001953125,36181
2025-01-17 07:45:00+00:00,12105.150390625,12128.5498046875,12090.0,12121.2001953125,37664
2025-01-17 08:45:00+00:00,12122.099609375,12186.9501953125,12104.0498046875,12122.2998046875,78852
2025-01-17 09:45:00+00:00,12122.2998046875,12136.349609375,12087.599609375,12136.349609375,18525
2025-01-20 03:45:00+00:00,12136.349609375,12136.349609375,12001.2998046875,12033.400390625,0
2025-01-20 04:45:00+00:00,12032.75,12069.7001953125,11984.0498046875,11993.0,29091
2025-01-20 05:45:00+00:00,11995.349609375,12136.349609375,11993.349609375,12108.5498046875,35774
2025-01-20 06:45:00+00:00,12106.5,12122.4501953125,12070.0,12078.0498046875,18445
2025-01-20 07:45:00+00:00,12078.0498046875,12090.0,11993.0498046875,12010.0,29008
2025-01-20 08:45:00+00:00,12010.0,12056.0,11990.0,12018.9501953125,43000
2025-01-20 09:45:00+00:00,12025.2001953125,12025.2998046875,12000.0,12020.0498046875,39307
2025-01-21 03:45:00+00:00,12017.0498046875,12104.900390625,11969.150390625,11974.9501953125,0
2025-01-21 04:45:00+00:00,11972.9501953125,11975.75,11904.75,11932.7998046875,22257
2025-01-21 05:45:00+00:00,11933.7998046875,12135.5498046875,11912.25,12028.599609375,72161
2025-01-21 06:45:00+00:00,12028.0498046875,12047.0,11933.7001953125,12009.650390625,53842
2025-01-21 07:45:00+00:00,12008.0,12033.150390625,11937.349609375,11973.150390625,31104
2025-01-21 08:45:00+00:00,11968.599609375,11976.650390625,11863.25,11883.900390625,63634
2025-01-21 09:45:00+00:00,11881.599609375,11916.0,11870.349609375,11883.7001953125,15439
2025-01-22 03:45:00+00:00,11920.2001953125,11985.4501953125,11910.5498046875,11940.0,0
2025-01-22 04:45:00+00:00,11943.7001953125,11979.650390625,11919.0,11963.849609375,27343
2025-01-22 05:45:00+00:00,11957.2001953125,12000.0,11947.0,11993.7001953125,67334
2025-01-22 06:45:00+00:00,11993.7001953125,12078.599609375,11991.5,12035.2998046875,85216
2025-01-22 07:45:00+00:00,12038.0498046875,12040.400390625,11997.25,12008.599609375,53612
2025-01-22 08:45:00+00:00,12010.599609375,12034.9501953125,12001.0,12026.0498046875,72711
2025-01-22 09:45:00+00:00,12026.0498046875,12034.0,11991.75,12020.0,32808
2025-01-23 03:45:00+00:00,12025.0,12072.7001953125,11961.9501953125,12022.0498046875,0
2025-01-23 04:45:00+00:00,12025.150390625,12105.25,12020.25,12026.9501953125,91970
2025-01-23 05:45:00+00:00,12026.9501953125,12062.5,12011.2998046875,12041.2998046875,100858
2025-01-23 06:45:00+00:00,12041.599609375,12081.9501953125,12013.75,12041.849609375,33201
2025-01-23 07:45:00+00:00,12040.650390625,12065.099609375,12024.4501953125,12064.0,24666
2025-01-23 08:45:00+00:00,12064.0498046875,12077.9501953125,12022.099609375,12047.099609375,97272
