Datetime,Open,High,Low,Close,Volume
2025-01-10 03:45:00+00:00,8803.5,8853.4501953125,8645.2998046875,8731.2998046875,0
2025-01-10 04:45:00+00:00,8731.349609375,8731.349609375,8680.0,8725.0,35461
2025-01-10 05:45:00+00:00,8727.5498046875,8753.0,8700.0,8736.099609375,80741
2025-01-10 06:45:00+00:00,8738.099609375,8808.0,8738.099609375,8796.5,37118
2025-01-10 07:45:00+00:00,8799.849609375,8815.0,8771.349609375,8773.0,34583
2025-01-10 08:45:00+00:00,8772.7001953125,8798.900390625,8742.150390625,8764.599609375,68413
2025-01-10 09:45:00+00:00,8765.2001953125,8784.4501953125,8746.900390625,8770.0,21454
2025-01-13 03:45:00+00:00,8703.0,8739.5498046875,8615.7998046875,8617.150390625,0
2025-01-13 04:45:00+00:00,8623.9501953125,8725.0,8600.0498046875,8659.0498046875,59563
2025-01-13 05:45:00+00:00,8664.75,8685.0,8631.2001953125,8631.2001953125,20940
2025-01-13 06:45:00+00:00,8634.349609375,8665.0,8615.0,8625.5498046875,35785
2025-01-13 07:45:00+00:00,8629.0,8629.0,8585.7998046875,8606.0,59251
2025-01-13 08:45:00+00:00,8605.5498046875,8615.0,8551.0,8602.9501953125,84042
2025-01-13 09:45:00+00:00,8602.9501953125,8625.0,8590.0,8619.9501953125,30754
2025-01-14 03:45:00+00:00,8685.5498046875,8685.5498046875,8541.0,8559.599609375,0
2025-01-14 04:45:00+00:00,8557.7998046875,8629.5498046875,8539.099609375,8610.0,50935
2025-01-14 05:45:00+00:00,8610.0,8613.5498046875,8544.0498046875,8544.0498046875,68134
2025-01-14 06:45:00+00:00,8543.0498046875,8592.0,8525.0,8575.0,52138
2025-01-14 07:45:00+00:00,8575.0,8584.25,8550.7998046875,8561.0498046875,31597
2025-01-14 08:45:00+00:00,8561.0498046875,8624.0,8559.0,8621.400390625,70449
2025-01-14 09:45:00+00:00,8620.0498046875,8625.0,8607.5,8611.2001953125,0
2025-01-15 03:45:00+00:00,8648.849609375,8798.599609375,8632.0,8641.9501953125,86206
2025-01-15 04:45:00+00:00,8641.9501953125,8672.4501953125,8590.099609375,8623.75,50313
2025-01-15 05:45:00+00:00,8623.75,8646.7998046875,8600.0,8605.0498046875,34214
2025-01-15 06:45:00+00:00,8605.0498046875,8637.5,8584.0,8594.400390625,30695
2025-01-15 07:45:00+00:00,8592.400390625,8602.650390625,8562.2001953125,8581.75,53656
2025-01-15 08:45:00+00:00,8583.2998046875,8593.5498046875,8570.0,8577.349609375,55920
2025-01-15 09:45:00+00:00,8582.150390625,8587.0,8565.0,8578.0,36200
2025-01-16 03:45:00+00:00,8600.0,8639.0,8579.0,8590.4501953125,0
2025-01-16 04:45:00+00:00,8590.4501953125,8598.650390625,8549.7001953125,8550.4501953125,50833
2025-01-16 05:45:00+00:00,8554.900390625,8620.0,8550.0498046875,8599.2001953125,25676
2025-01-16 06:45:00+00:00,8599.2001953125,8622.0,8570.0,8573.900390625,33547
2025-01-16 07:45:00+00:00,8573.4501953125,8604.900390625,8571.2998046875,8602.0498046875,25239
2025-01-16 08:45:00+00:00,8602.0498046875,8603.900390625,8569.849609375,8584.9501953125,74318
2025-01-16 09:45:00+00:00,8585.0,8592.599609375,8574.400390625,8589.0,28544
2025-01-17 03:45:00+00:00,8571.5498046875,8645.0,8535.099609375,8625.5498046875,0
2025-01-17 04:45:00+00:00,8625.0,8666.599609375,8555.0,8572.5498046875,40387
2025-01-17 05:45:00+00:00,8572.849609375,8606.75,8567.0,8595.0,10938
2025-01-17 06:45:00+00:00,8595.0,8630.0,8583.0,8585.400390625,15386
2025-01-17 07:45:00+00:00,8585.349609375,8585.349609375,8558.2001953125,8577.0,18815
2025-01-17 08:45:00+00:00,8576.9501953125,8603.849609375,8563.650390625,8578.7998046875,30153
2025-01-17 09:45:00+00:00,8579.099609375,8584.0,8570.900390625,8581.400390625,13284
2025-01-20 03:45:00+00:00,8588.0498046875,8606.5,8463.0,8475.9501953125,0
2025-01-20 04:45:00+00:00,8476.0,8534.650390625,8475.0,8521.900390625,31699
2025-01-20 05:45:00+00:00,8521.849609375,8599.400390625,8510.5,8565.5,37471
2025-01-20 06:45:00+00:00,8562.4501953125,8570.0,8525.0,8525.0498046875,54113
2025-01-20 07:45:00+00:00,8525.0,8539.5,8521.0,8534.150390625,27951
2025-01-20 08:45:00+00:00,8534.150390625,8551.7001953125,8530.0,8544.0498046875,42466
2025-01-20 09:45:00+00:00,8544.400390625,8550.400390625,8531.2998046875,8544.400390625,16096
2025-01-21 03:45:00+00:00,8580.0,8606.4501953125,8501.0,8504.2001953125,0
2025-01-21 04:45:00+00:00,8504.7001953125,8508.900390625,8465.0,8495.0,67577
2025-01-21 05:45:00+00:00,8492.849609375,8531.7998046875,8490.650390625,8494.900390625,59672
2025-01-21 06:45:00+00:00,8494.900390625,8515.0498046875,8465.0,8503.0498046875,32502
2025-01-21 07:45:00+00:00,8505.650390625,8505.650390625,8460.0,8463.599609375,55832
2025-01-21 08:45:00+00:00,8463.0,8482.2998046875,8412.349609375,8482.2998046875,68241
2025-01-21 09:45:00+00:00,8482.7998046875,8482.7998046875,8447.9501953125,8447.9501953125,21266
2025-01-22 03:45:00+00:00,8487.9501953125,8528.9501953125,8421.0,8436.849609375,0
2025-01-22 04:45:00+00:00,8436.849609375,8474.900390625,8415.0,8433.0,26067
2025-01-22 05:45:00+00:00,8433.0,8445.0,8395.0,8411.900390625,51657
2025-01-22 06:45:00+00:00,8408.599609375,8439.7998046875,8405.0,8429.75,76080
2025-01-22 07:45:00+00:00,8429.75,8439.25,8411.75,8423.0,43500
2025-01-22 08:45:00+00:00,8426.2001953125,8469.2998046875,8412.9501953125,8461.9501953125,61254
2025-01-22 09:45:00+00:00,8462.0,8468.349609375,8435.0498046875,8460.849609375,26668
2025-01-23 03:45:00+00:00,8452.4501953125,8474.0,8376.650390625,8460.599609375,0
2025-01-23 04:45:00+00:00,8459.900390625,8496.5498046875,8457.25,8488.2998046875,26538
2025-01-23 05:45:00+00:00,8488.2998046875,8502.0,8440.0,8456.5498046875,37437
2025-01-23 06:45:00+00:00,8456.650390625,8465.0,8405.400390625,8412.75,51437
2025-01-23 07:45:00+00:00,8409.150390625,8426.4501953125,8401.0,8403.5498046875,52078
2025-01-23 08:45:00+00:00,8404.0,8415.7001953125,8395.150390625,8400.5,93222
2025-01-23 09:45:00+00:00,8400.5,8409.9501953125,8390.150390625,8399.9501953125,23501
2025-01-24 03:45:00+00:00,8441.0,8479.5498046875,8367.25,8379.75,0
2025-01-24 04:45:00+00:00,8384.400390625,8459.0,8360.0,8449.4501953125,31207
2025-01-24 05:45:00+00:00,8451.900390625,8489.9501953125,8446.9501953125,8472.400390625,27568
2025-01-24 06:45:00+00:00,8475.099609375,8483.0,8449.0,8467.650390625,45461
2025-01-24 07:45:00+00:00,8467.650390625,8471.900390625,8440.0,8442.5,26815
2025-01-24 08:45:00+00:00,8442.4501953125,8455.650390625,8381.7001953125,8395.5,42993
2025-01-24 09:45:00+00:00,8395.5,8417.0,8395.5,8410.0,9308
2025-01-27 03:45:00+00:00,8364.650390625,8404.5,8318.5,8394.099609375,0
2025-01-27 04:45:00+00:00,8394.099609375,8418.099609375,8293.2998046875,8365.0,95703
2025-01-27 05:45:00+00:00,8365.849609375,8392.599609375,8350.0,8374.349609375,32399
