Datetime,Open,High,Low,Close,Volume
2025-01-10 03:45:00+00:00,892.0499877929688,893.7999877929688,880.4000244140625,887.4500122070312,0
2025-01-10 04:45:00+00:00,887.5,895.75,886.2000122070312,895.5,196108
2025-01-10 05:45:00+00:00,895.5,898.9500122070312,893.3499755859375,898.25,128572
2025-01-10 06:45:00+00:00,898.1500244140625,902.2999877929688,897.6500244140625,900.9000244140625,156442
2025-01-10 07:45:00+00:00,900.7000122070312,903.3499755859375,896.6500244140625,896.9500122070312,108219
2025-01-10 08:45:00+00:00,896.9500122070312,900.7000122070312,896.0,898.6500244140625,309463
2025-01-10 09:45:00+00:00,899.5499877929688,901.25,898.0,899.0,282361
2025-01-13 03:45:00+00:00,892.0,894.4000244140625,888.0,892.7000122070312,0
2025-01-13 04:45:00+00:00,893.0499877929688,898.6500244140625,892.0,893.5499877929688,114161
2025-01-13 05:45:00+00:00,893.5499877929688,894.4500122070312,889.2999877929688,891.0499877929688,89649
2025-01-13 06:45:00+00:00,890.8499755859375,891.9500122070312,888.25,890.1500244140625,115750
2025-01-13 07:45:00+00:00,890.4500122070312,891.5499877929688,886.4000244140625,887.5,369397
2025-01-13 08:45:00+00:00,887.5,888.0999755859375,880.0499877929688,884.2000122070312,392615
2025-01-13 09:45:00+00:00,884.4500122070312,886.7999877929688,884.0499877929688,884.8499755859375,162943
2025-01-14 03:45:00+00:00,886.8499755859375,904.2000122070312,886.8499755859375,897.9000244140625,0
2025-01-14 04:45:00+00:00,897.9000244140625,906.0,894.0999755859375,905.5,291803
2025-01-14 05:45:00+00:00,905.5,908.0999755859375,902.2999877929688,903.5,251977
2025-01-14 06:45:00+00:00,903.5,911.2000122070312,902.3499755859375,907.1500244140625,432323
2025-01-14 07:45:00+00:00,907.4000244140625,908.25,901.0999755859375,901.5,207235
2025-01-14 08:45:00+00:00,901.5999755859375,907.2000122070312,900.0,906.4500122070312,213076
2025-01-14 09:45:00+00:00,906.2999877929688,907.1500244140625,904.25,905.0,167871
