Datetime,Open,High,Low,Close,Volume
2025-01-10 03:45:00+00:00,11205.2001953125,11269.25,11010.900390625,11029.75,0
2025-01-10 04:45:00+00:00,11030.2001953125,11077.849609375,11000.0,11062.25,17219
2025-01-10 05:45:00+00:00,11066.0498046875,11079.75,10986.349609375,11013.349609375,20012
2025-01-10 06:45:00+00:00,11016.099609375,11045.0,10970.0,11011.0,19763
2025-01-10 07:45:00+00:00,11008.0498046875,11033.2998046875,10900.5,10902.650390625,25532
2025-01-10 08:45:00+00:00,10905.650390625,10924.599609375,10846.0,10875.5,79374
2025-01-10 09:45:00+00:00,10876.900390625,10882.2001953125,10838.0498046875,10875.849609375,34141
2025-01-13 03:45:00+00:00,10799.7998046875,10800.349609375,10719.2998046875,10756.0,0
2025-01-13 04:45:00+00:00,10761.599609375,10818.400390625,10746.0,10778.599609375,19781
2025-01-13 05:45:00+00:00,10777.7001953125,10803.0,10701.0,10701.7998046875,23799
2025-01-13 06:45:00+00:00,10701.7998046875,10721.2998046875,10672.25,10682.5,19185
2025-01-13 07:45:00+00:00,10685.9501953125,10688.099609375,10614.650390625,10650.0,34279
2025-01-13 08:45:00+00:00,10654.25,10666.0,10600.0,10620.349609375,51616
2025-01-13 09:45:00+00:00,10618.5,10646.75,10593.400390625,10615.150390625,33276
2025-01-14 03:45:00+00:00,10582.599609375,10732.9501953125,10582.599609375,10614.4501953125,0
2025-01-14 04:45:00+00:00,10614.400390625,10623.150390625,10572.2001953125,10586.0498046875,28711
2025-01-14 05:45:00+00:00,10587.400390625,10604.0,10541.7998046875,10561.4501953125,36698
2025-01-14 06:45:00+00:00,10560.75,10563.650390625,10507.0498046875,10525.349609375,28259
2025-01-14 07:45:00+00:00,10523.7001953125,10554.2001953125,10500.099609375,10504.7998046875,28406
2025-01-14 08:45:00+00:00,10507.099609375,10509.5498046875,10464.4501953125,10493.099609375,114349
2025-01-14 09:45:00+00:00,10491.650390625,10522.650390625,10466.400390625,10483.75,0
2025-01-15 03:45:00+00:00,10540.0498046875,10642.7001953125,10470.0,10586.349609375,95070
2025-01-15 04:45:00+00:00,10585.7998046875,10631.0,10571.5,10622.2001953125,64028
2025-01-15 05:45:00+00:00,10624.0,10639.7998046875,10578.099609375,10598.400390625,74795
2025-01-15 06:45:00+00:00,10597.2998046875,10622.650390625,10570.0,10585.0,53681
2025-01-15 07:45:00+00:00,10584.650390625,10584.650390625,10534.7001953125,10551.650390625,23447
2025-01-15 08:45:00+00:00,10551.599609375,10551.599609375,10500.0498046875,10513.849609375,40641
2025-01-15 09:45:00+00:00,10513.4501953125,10545.0,10500.0,10521.650390625,19779
2025-01-16 03:45:00+00:00,10574.099609375,10807.599609375,10574.099609375,10657.5,0
2025-01-16 04:45:00+00:00,10658.0,10671.9501953125,10593.7001953125,10626.650390625,64035
2025-01-16 05:45:00+00:00,10621.7998046875,10728.0,10611.0,10710.0,41031
2025-01-16 06:45:00+00:00,10710.0,10710.0,10665.0,10677.599609375,29580
2025-01-16 07:45:00+00:00,10677.599609375,10685.900390625,10653.400390625,10670.0,49426
2025-01-16 08:45:00+00:00,10670.0,10670.2001953125,10622.0498046875,10641.150390625,98040
2025-01-16 09:45:00+00:00,10641.349609375,10650.0,10625.0,10636.2001953125,36222
2025-01-17 03:45:00+00:00,10643.400390625,10703.0,10600.2001953125,10681.75,0
2025-01-17 04:45:00+00:00,10675.5,10723.7001953125,10500.099609375,10515.0,35389
2025-01-17 05:45:00+00:00,10515.0,10570.0,10515.0,10539.0,75910
2025-01-17 06:45:00+00:00,10539.0,10614.2998046875,10539.0,10570.0,40363
2025-01-17 07:45:00+00:00,10570.0,10579.400390625,10540.599609375,10563.0,31185
2025-01-17 08:45:00+00:00,10563.0,10593.150390625,10556.25,10582.75,67100
2025-01-17 09:45:00+00:00,10582.7001953125,10600.0,10578.849609375,10580.0,15503
2025-01-20 03:45:00+00:00,10630.0,10630.0,10498.0498046875,10539.5498046875,0
2025-01-20 04:45:00+00:00,10539.75,10570.25,10523.349609375,10550.150390625,34506
2025-01-20 05:45:00+00:00,10552.650390625,10579.5498046875,10540.0,10560.0,24907
2025-01-20 06:45:00+00:00,10560.0,10589.0,10550.0,10578.650390625,34015
2025-01-20 07:45:00+00:00,10578.849609375,10595.0,10566.599609375,10594.150390625,33825
2025-01-20 08:45:00+00:00,10592.0498046875,10637.9501953125,10590.0,10627.599609375,84462
2025-01-20 09:45:00+00:00,10627.650390625,10652.4501953125,10615.349609375,10624.4501953125,72438
2025-01-21 03:45:00+00:00,10677.5,10885.0,10677.5,10768.650390625,0
2025-01-21 04:45:00+00:00,10766.2001953125,10769.900390625,10690.0498046875,10729.0498046875,61979
2025-01-21 05:45:00+00:00,10734.9501953125,10968.0,10717.9501953125,10881.0498046875,133014
