Stock_1,Stock_2,Cointegration P-Value,Stock1 ADF P-Value,Stock2 ADF P-Value
LT,ONGC,0.028259003155191677,0.7269804934616669,0.7519286277124164
HEROMOTOCO,TITAN,0.029212486746425396,0.9023031453984385,0.7123883650557716
TITAN,HEROMOTOCO,0.02285770485207494,0.7123883650557716,0.9023031453984385
APOLLOHOSP,ONGC,0.0012541039472052495,0.6032629691444467,0.7519286277124164
ONGC,APOLLOHOSP,0.0018882692451981551,0.7519286277124164,0.6032629691444467
APOLLOHOSP,ITC,0.013808415718034745,0.6032629691444467,0.7554969118774213
ITC,APOLLOHOSP,0.018794358651380065,0.7554969118774213,0.6032629691444467
TATAMOTORS,LT,0.009553977913579606,0.6233274559312664,0.7269804934616669
LT,TATAMOTORS,0.007267413783161732,0.7269804934616669,0.6233274559312664
